id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13908568,JJ343592,2025-07-21T22:53:00.000,070XX S MORGAN ST,143C,WEAPONS VIOLATION,UNLAWFUL POSSESSION - AMMUNITION,SIDEWALK,True,False,0733,007,16,68,15,1170858,1858230,2025,2025-07-29T15:42:06.000,41.766457683,-87.649299205,"{'latitude': '41.766457683', 'longitude': '-87.649299205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,410,32,11,17,215,16
13908632,JJ343594,2025-07-21T22:52:00.000,032XX W DOUGLAS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1022,010,24,29,08B,1154816,1893269,2025,2025-07-29T15:42:06.000,41.862944405,-87.707163698,"{'latitude': '41.862944405', 'longitude': '-87.707163698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,34,14,57,21,152,24
13908639,JJ343580,2025-07-21T22:51:00.000,036XX W 59TH ST,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,False,False,0822,008,23,62,03,1153044,1865243,2025,2025-07-29T15:42:06.000,41.786072648,-87.714409703,"{'latitude': '41.786072648', 'longitude': '-87.714409703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,21867,60,774,6,58,13,129,23
13908605,JJ343675,2025-07-21T22:50:00.000,063XX S COAST GUARD DR,0810,THEFT,OVER $500,LAKEFRONT / WATERFRONT / RIVERBANK,False,False,0331,003,5,42,06,1191158,1863398,2025,2025-07-29T15:42:06.000,41.780171969,-87.574725996,"{'latitude': '41.780171969', 'longitude': '-87.574725996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,9,134,33,24,18,262,3
13908586,JJ343571,2025-07-21T22:47:00.000,040XX W GRAND AVE,0460,BATTERY,SIMPLE,CTA BUS,False,False,2534,025,36,23,08B,1149442,1908989,2025,2025-07-29T15:42:06.000,41.906187671,-87.72648318,"{'latitude': '41.906187671', 'longitude': '-87.72648318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,4299,24,286,49,5,6,194,36
13908798,JJ343884,2025-07-21T22:30:00.000,070XX S UNION AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0732,007,6,68,14,1172853,1858211,2025,2025-07-29T15:42:06.000,41.766361775,-87.641987363,"{'latitude': '41.766361775', 'longitude': '-87.641987363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,66,479,32,11,17,214,4
13908616,JJ343569,2025-07-21T22:30:00.000,044XX W ADAMS ST,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,False,False,1113,011,28,26,03,1146925,1898645,2025,2025-07-29T15:42:06.000,41.877851081,-87.735993683,"{'latitude': '41.877851081', 'longitude': '-87.735993683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,27,716,23,30,16,90,28
13908828,JJ343929,2025-07-21T22:30:00.000,070XX S UNION AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0732,007,6,68,14,1172853,1858211,2025,2025-07-29T15:42:06.000,41.766361775,-87.641987363,"{'latitude': '41.766361775', 'longitude': '-87.641987363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,66,479,32,11,17,214,4
13908791,JJ343767,2025-07-21T22:30:00.000,100XX S EXCHANGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0431,004,10,51,07,1197493,1838884,2025,2025-07-29T15:42:06.000,41.712748026,-87.552317137,"{'latitude': '41.712748026', 'longitude': '-87.552317137', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,48,526,47,25,19,249,6
13908691,JJ343626,2025-07-21T22:30:00.000,059XX S RACINE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0713,007,16,67,05,1169339,1865307,2025,2025-07-29T15:42:06.000,41.785910855,-87.654662193,"{'latitude': '41.785910855', 'longitude': '-87.654662193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,22257,65,278,2,23,17,266,16
13910895,JJ343603,2025-07-21T22:30:00.000,085XX S COTTAGE GROVE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,0632,006,6,44,04A,1183049,1848622,2025,2025-07-29T15:42:06.000,41.739817594,-87.604913162,"{'latitude': '41.739817594', 'longitude': '-87.604913162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,40,141,32,61,20,241,4
